model,latency,response_length,timestamp
gemini,1.809,37,1767848634.9818163
llama,2.308,84,1767848635.4831572
chatgpt,5.542,317,1767848638.7119076
llama,1.045,27,1767848911.0957766
gemini,2.711,35,1767848912.7564194
chatgpt,4.51,317,1767848914.554341
llama,1.01,27,1767849161.3884153
gemini,3.252,32,1767849163.6276817
chatgpt,3.363,317,1767849163.7364233
llama,0.966,25,1767849225.9781468
gemini,3.009,35,1767849228.014806
chatgpt,3.995,317,1767849228.9971073
llama,1.216,84,1767849433.4187841
chatgpt,3.72,317,1767849435.9185896
gemini,4.305,29,1767849436.504941
gemini,1.502,35,1768812032.5839145
llama,1.979,31,1768812033.0626698
chatgpt,9.208,317,1768812040.287503
